Time,SUPERTd_5_1.5
2021-12-17 18:30:00,1
2021-12-17 19:00:00,1
2021-12-17 19:30:00,1
2021-12-17 20:00:00,1
2021-12-17 20:30:00,1
2021-12-17 21:00:00,1
2021-12-17 21:30:00,1
2021-12-17 22:00:00,1
2021-12-17 22:30:00,1
2021-12-17 23:00:00,1
2021-12-17 23:30:00,1
2021-12-18 00:00:00,1
2021-12-18 00:30:00,1
2021-12-18 01:00:00,1
2021-12-18 01:30:00,1
2021-12-18 02:00:00,1
2021-12-18 02:30:00,1
2021-12-18 03:00:00,1
2021-12-18 03:30:00,1
2021-12-18 04:00:00,1
2021-12-18 04:30:00,1
2021-12-18 05:00:00,1
2021-12-18 05:30:00,1
2021-12-18 06:00:00,1
2021-12-18 06:30:00,1
2021-12-18 07:00:00,1
2021-12-18 07:30:00,1
2021-12-18 08:00:00,1
2021-12-18 08:30:00,1
2021-12-18 09:00:00,1
2021-12-18 09:30:00,1
2021-12-18 10:00:00,1
2021-12-18 10:30:00,1
2021-12-18 11:00:00,1
2021-12-18 11:30:00,1
2021-12-18 12:00:00,1
2021-12-18 12:30:00,1
2021-12-18 13:00:00,1
2021-12-18 13:30:00,1
2021-12-18 14:00:00,1
2021-12-18 14:30:00,1
2021-12-18 15:00:00,1
2021-12-18 15:30:00,1
2021-12-18 16:00:00,1
2021-12-18 16:30:00,1
2021-12-18 17:00:00,1
2021-12-18 17:30:00,1
2021-12-18 18:00:00,1
2021-12-18 18:30:00,1
2021-12-18 19:00:00,1
2021-12-18 19:30:00,1
2021-12-18 20:00:00,1
2021-12-18 20:30:00,1
2021-12-18 21:00:00,1
2021-12-18 21:30:00,1
2021-12-18 22:00:00,1
2021-12-18 22:30:00,-1
2021-12-18 23:00:00,-1
2021-12-18 23:30:00,-1
2021-12-19 00:00:00,-1
2021-12-19 00:30:00,-1
2021-12-19 01:00:00,-1
2021-12-19 01:30:00,-1
2021-12-19 02:00:00,-1
2021-12-19 02:30:00,-1
2021-12-19 03:00:00,-1
2021-12-19 03:30:00,-1
2021-12-19 04:00:00,-1
2021-12-19 04:30:00,-1
2021-12-19 05:00:00,-1
2021-12-19 05:30:00,-1
2021-12-19 06:00:00,-1
2021-12-19 06:30:00,-1
2021-12-19 07:00:00,-1
2021-12-19 07:30:00,-1
2021-12-19 08:00:00,-1
2021-12-19 08:30:00,1
2021-12-19 09:00:00,1
2021-12-19 09:30:00,1
2021-12-19 10:00:00,1
2021-12-19 10:30:00,1
2021-12-19 11:00:00,1
2021-12-19 11:30:00,1
2021-12-19 12:00:00,1
2021-12-19 12:30:00,1
2021-12-19 13:00:00,1
2021-12-19 13:30:00,1
2021-12-19 14:00:00,1
2021-12-19 14:30:00,1
2021-12-19 15:00:00,-1
2021-12-19 15:30:00,-1
2021-12-19 16:00:00,-1
2021-12-19 16:30:00,-1
2021-12-19 17:00:00,-1
2021-12-19 17:30:00,-1
2021-12-19 18:00:00,-1
2021-12-19 18:30:00,-1
2021-12-19 19:00:00,-1
2021-12-19 19:30:00,-1
2021-12-19 20:00:00,-1
2021-12-19 20:30:00,-1
2021-12-19 21:00:00,-1
2021-12-19 21:30:00,-1
2021-12-19 22:00:00,-1
2021-12-19 22:30:00,-1
2021-12-19 23:00:00,-1
2021-12-19 23:30:00,-1
2021-12-20 00:00:00,-1
2021-12-20 00:30:00,-1
2021-12-20 01:00:00,-1
2021-12-20 01:30:00,-1
2021-12-20 02:00:00,-1
2021-12-20 02:30:00,-1
2021-12-20 03:00:00,-1
2021-12-20 03:30:00,-1
2021-12-20 04:00:00,-1
2021-12-20 04:30:00,-1
2021-12-20 05:00:00,-1
2021-12-20 05:30:00,-1
2021-12-20 06:00:00,-1
2021-12-20 06:30:00,-1
2021-12-20 07:00:00,-1
2021-12-20 07:30:00,-1
2021-12-20 08:00:00,-1
2021-12-20 08:30:00,-1
2021-12-20 09:00:00,-1
2021-12-20 09:30:00,-1
2021-12-20 10:00:00,-1
2021-12-20 10:30:00,-1
2021-12-20 11:00:00,-1
2021-12-20 11:30:00,-1
2021-12-20 12:00:00,-1
2021-12-20 12:30:00,-1
2021-12-20 13:00:00,-1
2021-12-20 13:30:00,-1
2021-12-20 14:00:00,-1
2021-12-20 14:30:00,-1
2021-12-20 15:00:00,-1
2021-12-20 15:30:00,-1
2021-12-20 16:00:00,-1
2021-12-20 16:30:00,-1
2021-12-20 17:00:00,-1
2021-12-20 17:30:00,-1
